 ######################################################################
 #Data for Case=          16
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001       328  1.79999995E+00  2.03075785E+00  1.66677017E+00  4.31027266E-02  1.11991760E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  4.14640153E-02  1.15852770E+00
  4.15452405E-02  1.15864926E+00
  4.16264738E-02  1.15877066E+00
  4.17077152E-02  1.15889197E+00
  4.17889647E-02  1.15901313E+00
  4.18702224E-02  1.15913419E+00
  4.19514882E-02  1.15925510E+00
  4.20327621E-02  1.15937592E+00
  4.21140442E-02  1.15949658E+00
  4.21953343E-02  1.15961714E+00
  4.22766326E-02  1.15973755E+00
  4.23579391E-02  1.15985787E+00
  4.24392536E-02  1.15997803E+00
  4.25205763E-02  1.16009810E+00
  4.26019072E-02  1.16021801E+00
  4.26832461E-02  1.16033782E+00
  4.27645932E-02  1.16045749E+00
  4.28459484E-02  1.16057705E+00
  4.29273118E-02  1.16069647E+00
  4.30086833E-02  1.16081578E+00
  4.30900630E-02  1.16093494E+00
  4.31714507E-02  1.16105401E+00
  4.32528467E-02  1.16117292E+00
  4.33342507E-02  1.16129173E+00
  4.34156629E-02  1.16141039E+00
  4.34970833E-02  1.16152895E+00
  4.35785117E-02  1.16164736E+00
  4.36599484E-02  1.16176567E+00
  4.37413931E-02  1.16188383E+00
  4.38228461E-02  1.16200189E+00
  4.39043071E-02  1.16211979E+00
  4.39857763E-02  1.16223760E+00
  4.40672537E-02  1.16235525E+00
  4.41487392E-02  1.16247280E+00
  4.42302328E-02  1.16259020E+00
  4.43117346E-02  1.16270751E+00
  4.43932446E-02  1.16282465E+00
  4.44747627E-02  1.16294170E+00
  4.45562890E-02  1.16305859E+00
  4.46378234E-02  1.16317539E+00
  4.47193659E-02  1.16329203E+00
  4.48009167E-02  1.16340857E+00
  4.48824755E-02  1.16352495E+00
  4.49640426E-02  1.16364124E+00
  4.50456177E-02  1.16375737E+00
  4.51272011E-02  1.16387341E+00
  4.52087926E-02  1.16398928E+00
  4.52903923E-02  1.16410506E+00
  4.53720001E-02  1.16422068E+00
  4.54536161E-02  1.16433621E+00
  4.55352402E-02  1.16445157E+00
  4.56168725E-02  1.16456684E+00
  4.56985130E-02  1.16468196E+00
  4.57801616E-02  1.16479697E+00
  4.58618184E-02  1.16491183E+00
  4.59434834E-02  1.16502658E+00
  4.60251565E-02  1.16514119E+00
  4.61068378E-02  1.16525569E+00
  4.61885273E-02  1.16537003E+00
  4.62702250E-02  1.16548428E+00
  4.63519308E-02  1.16559837E+00
  4.64336448E-02  1.16571236E+00
  4.65153669E-02  1.16582619E+00
  4.65970972E-02  1.16593992E+00
  4.66788357E-02  1.16605350E+00
  4.67605824E-02  1.16616698E+00
